"center_id","url"
111,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41243;search_require_client_code-2106=1;search_require_client_code-2101=1"
111,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41243;search_require_client_code-2106=1;search_require_client_code-2101=1"
156,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=25142;search_require_client_code-2106=1;search_require_client_code-2101=1"
166,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38295;search_require_client_code-2106=1;search_require_client_code-2101=1"
171,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9204;search_require_client_code-2106=1;search_require_client_code-2101=1"
180,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16605;search_require_client_code-2106=1;search_require_client_code-2101=1"
332,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40046;search_require_client_code-2106=1;search_require_client_code-2101=1"
382,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17565;search_require_client_code-2106=1;search_require_client_code-2101=1"
435,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8991;search_require_client_code-2106=1;search_require_client_code-2101=1"
439,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17537;search_require_client_code-2106=1;search_require_client_code-2101=1"
439,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17537;search_require_client_code-2106=1;search_require_client_code-2101=1"
439,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17537;search_require_client_code-2106=1;search_require_client_code-2101=1"
439,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17537;search_require_client_code-2106=1;search_require_client_code-2101=1"
494,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40661;search_require_client_code-2106=1;search_require_client_code-2101=1"
582,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8383;search_require_client_code-2106=1;search_require_client_code-2101=1"
684,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9947;search_require_client_code-2106=1;search_require_client_code-2101=1"
718,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40010;search_require_client_code-2106=1;search_require_client_code-2101=1"
815,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39926;search_require_client_code-2106=1;search_require_client_code-2101=1"
862,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40481;search_require_client_code-2106=1;search_require_client_code-2101=1"
915,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=23274;search_require_client_code-2106=1;search_require_client_code-2101=1"
919,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8627;search_require_client_code-2106=1;search_require_client_code-2101=1"
949,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=15624;search_require_client_code-2106=1;search_require_client_code-2101=1"
952,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38578;search_require_client_code-2106=1;search_require_client_code-2101=1"
1124,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38399;search_require_client_code-2106=1;search_require_client_code-2101=1"
1160,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9019;search_require_client_code-2106=1;search_require_client_code-2101=1"
1164,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=11383;search_require_client_code-2106=1;search_require_client_code-2101=1"
1190,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9017;search_require_client_code-2106=1;search_require_client_code-2101=1"
1190,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9017;search_require_client_code-2106=1;search_require_client_code-2101=1"
1190,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9017;search_require_client_code-2106=1;search_require_client_code-2101=1"
1210,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8810;search_require_client_code-2106=1;search_require_client_code-2101=1"
1217,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=35289;search_require_client_code-2106=1;search_require_client_code-2101=1"
1422,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16180;search_require_client_code-2106=1;search_require_client_code-2101=1"
1730,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17370;search_require_client_code-2106=1;search_require_client_code-2101=1"
1747,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16207;search_require_client_code-2106=1;search_require_client_code-2101=1"
1865,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42387;search_require_client_code-2106=1;search_require_client_code-2101=1"
1880,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39711;search_require_client_code-2106=1;search_require_client_code-2101=1"
1912,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=18036;search_require_client_code-2106=1;search_require_client_code-2101=1"
1924,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8277;search_require_client_code-2106=1;search_require_client_code-2101=1"
1925,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=14764;search_require_client_code-2106=1;search_require_client_code-2101=1"
1925,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=14764;search_require_client_code-2106=1;search_require_client_code-2101=1"
1962,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=10417;search_require_client_code-2106=1;search_require_client_code-2101=1"
2007,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38041;search_require_client_code-2106=1;search_require_client_code-2101=1"
2007,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38041;search_require_client_code-2106=1;search_require_client_code-2101=1"
2007,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38041;search_require_client_code-2106=1;search_require_client_code-2101=1"
2007,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38041;search_require_client_code-2106=1;search_require_client_code-2101=1"
2007,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38041;search_require_client_code-2106=1;search_require_client_code-2101=1"
2007,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38041;search_require_client_code-2106=1;search_require_client_code-2101=1"
2026,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=34415;search_require_client_code-2106=1;search_require_client_code-2101=1"
2034,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38803;search_require_client_code-2106=1;search_require_client_code-2101=1"
2044,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40371;search_require_client_code-2106=1;search_require_client_code-2101=1"
2269,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=10923;search_require_client_code-2106=1;search_require_client_code-2101=1"
2424,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37753;search_require_client_code-2106=1;search_require_client_code-2101=1"
2424,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37753;search_require_client_code-2106=1;search_require_client_code-2101=1"
2500,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=24902;search_require_client_code-2106=1;search_require_client_code-2101=1"
2620,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=21768;search_require_client_code-2106=1;search_require_client_code-2101=1"
2633,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37380;search_require_client_code-2106=1;search_require_client_code-2101=1"
2633,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37380;search_require_client_code-2106=1;search_require_client_code-2101=1"
2633,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37380;search_require_client_code-2106=1;search_require_client_code-2101=1"
2634,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37381;search_require_client_code-2106=1;search_require_client_code-2101=1"
2634,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37381;search_require_client_code-2106=1;search_require_client_code-2101=1"
2634,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37381;search_require_client_code-2106=1;search_require_client_code-2101=1"
2634,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37381;search_require_client_code-2106=1;search_require_client_code-2101=1"
2652,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=19806;search_require_client_code-2106=1;search_require_client_code-2101=1"
